# nside 64 NEST
# pix_id lat lon prob
0 0.597 45.000 4.2400003905510669e-06
1 1.194 45.703 4.2400003905510669e-06
2 1.194 44.297 4.2400003905510669e-06
3 1.791 45.000 4.2400003905510669e-06
4 1.791 46.406 1.2319413866192908e-06
5 2.388 47.109 1.2319413866192908e-06
6 2.388 45.703 1.2319413866192908e-06
7 2.986 46.406 1.2319413866192908e-06
8 1.791 43.594 3.9521304805933951e-06
9 2.388 44.297 3.9521304805933951e-06
10 2.388 42.891 3.9521304805933951e-06
11 2.986 43.594 3.9521304805933951e-06
12 2.986 45.000 1.7944695247638333e-06
13 3.583 45.703 1.7944695247638333e-06
14 3.583 44.297 1.7944695247638333e-06
15 4.182 45.000 1.7944695247638333e-06
16 2.986 47.812 2.0003751433693081e-06
17 3.583 48.516 2.0003751433693081e-06
18 3.583 47.109 2.0003751433693081e-06
19 4.182 47.812 2.0003751433693081e-06
20 4.182 49.219 5.4112297622303480e-07
21 4.780 49.922 5.4112297622303480e-07
22 4.780 48.516 5.4112297622303480e-07
23 5.379 49.219 5.4112297622303480e-07
24 4.182 46.406 9.9374245052080768e-07
25 4.780 47.109 9.9374245052080768e-07
26 4.780 45.703 9.9374245052080768e-07
27 5.379 46.406 9.9374245052080768e-07
28 5.379 47.812 8.0194069329969679e-07
29 5.979 48.516 8.0194069329969679e-07
30 5.979 47.109 8.0194069329969679e-07
31 6.580 47.812 8.0194069329969679e-07
32 2.986 42.188 2.9550399807718637e-06
33 3.583 42.891 2.9550399807718637e-06
34 3.583 41.484 2.9550399807718637e-06
35 4.182 42.188 2.9550399807718637e-06
36 4.182 43.594 2.0340630265818283e-06
37 4.780 44.297 2.0340630265818283e-06
38 4.780 42.891 2.0340630265818283e-06
39 5.379 43.594 2.0340630265818283e-06
40 4.182 40.781 2.4941674175326635e-06
41 4.780 41.484 2.4941674175326635e-06
42 4.780 40.078 2.4941674175326635e-06
43 5.379 40.781 2.4941674175326635e-06
44 5.379 42.188 1.7450874220545292e-06
45 5.979 42.891 1.7450874220545292e-06
46 5.979 41.484 1.7450874220545292e-06
47 6.580 42.188 1.7450874220545292e-06
48 5.379 45.000 5.1847765920708754e-07
49 5.979 45.703 5.1847765920708754e-07
50 5.979 44.297 5.1847765920708754e-07
51 6.580 45.000 5.1847765920708754e-07
52 6.580 46.406 9.8272400512218776e-07
53 7.181 47.109 9.8272400512218776e-07
54 7.181 45.703 9.8272400512218776e-07
55 7.783 46.406 9.8272400512218776e-07
56 6.580 43.594 8.4178494591346177e-07
57 7.181 44.297 8.4178494591346177e-07
58 7.181 42.891 8.4178494591346177e-07
59 7.783 43.594 8.4178494591346177e-07
60 7.783 45.000 6.5525725987390567e-07
61 8.386 45.703 6.5525725987390567e-07
62 8.386 44.297 6.5525725987390567e-07
63 8.989 45.000 6.5525725987390567e-07
64 5.379 50.625 3.9107784381543411e-07
65 5.979 51.328 3.9107784381543411e-07
66 5.979 49.922 3.9107784381543411e-07
67 6.580 50.625 3.9107784381543411e-07
68 6.580 52.031 1.1638816229635925e-06
69 7.181 52.734 1.1638816229635925e-06
