# nside 64 NEST
# pix_id lat lon prob
0 0.597 45.000 4.4455633529754008e-05
1 1.194 45.703 4.1882620788521882e-05
2 1.194 44.297 6.5378104289918671e-05
3 1.791 45.000 5.8890201423075878e-05
4 1.791 46.406 3.9109226315005698e-05
5 2.388 47.109 3.4008690768796184e-05
6 2.388 45.703 5.1915711517373665e-05
7 2.986 46.406 4.6797116648380882e-05
8 1.791 43.594 7.9814636314795375e-05
9 2.388 44.297 7.9861833392241285e-05
10 2.388 42.891 1.0360247024668143e-04
11 2.986 43.594 9.7855169909700490e-05
12 2.986 45.000 7.8008757128510199e-05
13 3.583 45.703 7.1950404925547778e-05
14 3.583 44.297 9.3376000753030500e-05
15 4.182 45.000 9.1740305268658238e-05
16 2.986 47.812 3.3656304930199334e-05
17 3.583 48.516 3.3656304930199334e-05
18 3.583 47.109 3.3656304930199334e-05
19 4.182 47.812 3.3656304930199334e-05
20 4.182 49.219 1.7192677451277463e-05
21 4.780 49.922 1.7192677451277463e-05
22 4.780 48.516 1.7192677451277463e-05
23 5.379 49.219 1.7192677451277463e-05
24 4.182 46.406 6.2953835675085451e-05
25 4.780 47.109 5.4339612860612766e-05
26 4.780 45.703 9.0876011740690399e-05
27 5.379 46.406 8.6826950538693666e-05
28 5.379 47.812 4.8209237724565238e-05
29 5.979 48.516 4.3916446751350728e-05
30 5.979 47.109 7.7961801603395716e-05
31 6.580 47.812 6.6509684558114916e-05
32 2.986 42.188 1.3627259190559249e-04
33 3.583 42.891 1.3001979810066015e-04
34 3.583 41.484 1.7954878943708273e-04
35 4.182 42.188 1.7327401049179931e-04
36 4.182 43.594 1.2460905739014201e-04
37 4.780 44.297 1.1801443271574489e-04
38 4.780 42.891 1.6405453058294874e-04
39 5.379 43.594 1.5535319717958440e-04
40 4.182 40.781 2.0937216664652106e-04
41 4.780 41.484 2.0695342545465191e-04
42 4.780 40.078 2.6589467974416018e-04
43 5.379 40.781 2.5218863272939923e-04
44 5.379 42.188 2.0690827619041527e-04
45 5.979 42.891 2.0384858397293958e-04
46 5.979 41.484 2.3989592875795518e-04
47 6.580 42.188 2.3473937087915023e-04
48 5.379 45.000 1.1093745972354290e-04
49 5.979 45.703 1.0607677159941130e-04
50 5.979 44.297 1.4851956240891738e-04
51 6.580 45.000 1.4164324445080229e-04
52 6.580 46.406 1.0415295080353108e-04
53 7.181 47.109 1.0207819081252391e-04
54 7.181 45.703 1.3343407655708626e-04
55 7.783 46.406 1.2544874033759449e-04
56 6.580 43.594 1.9638636930262009e-04
57 7.181 44.297 1.8686579031036314e-04
58 7.181 42.891 2.3554195224055350e-04
59 7.783 43.594 2.3627885110605182e-04
60 7.783 45.000 1.7780138729491511e-04
61 8.386 45.703 1.6956659139624958e-04
62 8.386 44.297 2.3232102146518582e-04
63 8.989 45.000 2.2374957239951285e-04
64 5.379 50.625 5.1391280571971521e-06
65 5.979 51.328 5.1391280571971521e-06
66 5.979 49.922 5.1391280571971521e-06
67 6.580 50.625 5.1391280571971521e-06
68 6.580 52.031 8.9250261964490400e-07
69 7.181 52.734 8.9250261964490400e-07
70 7.181 51.328 8.9250261964490400e-07
71 7.783 52.031 8.9250261964490400e-07
72 6.580 49.219 3.9307678656775913e-05
73 7.181 49.922 3.2927739044723021e-05
74 7.181 48.516 5.6180244624701322e-05
75 7.783 49.219 4.8934058210827837e-05
76 7.783 50.625 3.3043957272167657e-05
77 8.386 51.328 3.3043957272167657e-05
78 8.386 49.922 3.3043957272167657e-05
79 8.989 50.625 3.3043957272167657e-05
80 7.783 53.438 8.9220632635771327e-08
81 8.386 54.141 8.9220632635771327e-08
82 8.386 52.734 8.9220632635771327e-08
83 8.989 53.438 8.9220632635771327e-08
84 8.989 54.844 5.2334762028578032e-09
85 9.594 55.547 5.2334762028578032e-09
86 9.594 54.141 5.2334762028578032e-09
87 10.200 54.844 5.2334762028578032e-09
88 8.989 52.031 1.7721497684216777e-05
89 9.594 52.734 1.7721497684216777e-05
90 9.594 51.328 1.7721497684216777e-05
91 10.200 52.031 1.7721497684216777e-05
92 10.200 53.438 6.2607821718755831e-06
93 10.807 54.141 6.2607821718755831e-06
94 10.807 52.734 6.2607821718755831e-06
95 11.415 53.438 6.2607821718755831e-06
96 7.783 47.812 9.5797733924541249e-05
97 8.386 48.516 8.4313719213038304e-05
98 8.386 47.109 1.2025047565486988e-04
99 8.989 47.812 1.1773890687126663e-04
100 8.989 49.219 7.0455659748956681e-05
101 9.594 49.922 5.8174585035368040e-05
102 9.594 48.516 1.1435673537118364e-04
103 10.200 49.219 1.0621866238957261e-04
104 8.989 46.406 1.6117969505813898e-04
105 9.594 47.109 1.5181871940328604e-04
106 9.594 45.703 2.1353423360564414e-04
107 10.200 46.406 2.0394990740142687e-04
108 10.200 47.812 1.4314489725169132e-04
109 10.807 48.516 1.3729857431764438e-04
110 10.807 47.109 1.9506403194016406e-04
