ID,RA,DEC,HEALPixels
0,0.00000000,-89.55010000,32768 45056
1,120.00000000,-89.55010000,36864
2,240.00000000,-89.55010000,40960
3,28.44042073,-88.65010000,32770
4,79.86899216,-88.65010000,32769
5,131.29756359,-88.65010000,36866
6,182.72613501,-88.65010000,36865 40962
7,234.15470644,-88.65010000,40961
8,285.58327787,-88.65010000,45058
9,337.01184930,-88.65010000,45057
10,0.00000000,-87.75010000,32776 45060
11,32.72727273,-87.75010000,32771
12,65.45454545,-87.75010000,32772
13,98.18181818,-87.75010000,36872
14,130.90909091,-87.75010000,36867
15,163.63636364,-87.75010000,36868
16,196.36363636,-87.75010000,40968
17,229.09090909,-87.75010000,40963
18,261.81818182,-87.75010000,40964
19,294.54545455,-87.75010000,45064
20,327.27272727,-87.75010000,45059
21,12.19324942,-86.85010000,32778
22,36.19324942,-86.85010000,32777
23,60.19324942,-86.85010000,32774
24,84.19324942,-86.85010000,32773
25,108.19324942,-86.85010000,36874
26,132.19324942,-86.85010000,36873
27,156.19324942,-86.85010000,36870
28,180.19324942,-86.85010000,36869 40970
29,204.19324942,-86.85010000,40969
30,228.19324942,-86.85010000,40966
31,252.19324942,-86.85010000,40965
32,276.19324942,-86.85010000,45066
33,300.19324942,-86.85010000,45065
34,324.19324942,-86.85010000,45062
35,348.19324942,-86.85010000,45061
36,0.00000000,-85.95010000,32800 32802 45072 45073
37,18.94736842,-85.95010000,32779 32801
38,37.89473684,-85.95010000,32780 32782
39,56.84210526,-85.95010000,32775 32781
40,75.78947368,-85.95010000,32784 32785 32786
41,94.73684211,-85.95010000,36896 36898
42,113.68421053,-85.95010000,36875 36897
43,132.63157895,-85.95010000,36876 36878
44,151.57894737,-85.95010000,36871 36882
45,170.52631579,-85.95010000,36880 36881
46,189.47368421,-85.95010000,40992 40994
47,208.42105263,-85.95010000,40971 40993
48,227.36842105,-85.95010000,40972 40973
49,246.31578947,-85.95010000,40967 40978
50,265.26315789,-85.95010000,40976 40977
51,284.21052632,-85.95010000,45088 45089 45090
52,303.15789474,-85.95010000,45067 45070
53,322.10526316,-85.95010000,45068 45069
54,341.05263158,-85.95010000,45063 45074
55,7.76499851,-85.05010000,32808
56,22.76499851,-85.05010000,32803
57,37.76499851,-85.05010000,32783 32804
58,52.76499851,-85.05010000,32792
59,67.76499851,-85.05010000,32787
60,82.76499851,-85.05010000,32788
61,97.76499851,-85.05010000,36904
62,112.76499851,-85.05010000,36899
63,127.76499851,-85.05010000,36879 36900
64,142.76499851,-85.05010000,36877 36888
65,157.76499851,-85.05010000,36883
66,172.76499851,-85.05010000,36884
67,187.76499851,-85.05010000,41000
68,202.76499851,-85.05010000,40995
69,217.76499851,-85.05010000,40974 40975 40996
70,232.76499851,-85.05010000,40984
71,247.76499851,-85.05010000,40979
72,262.76499851,-85.05010000,40980
73,277.76499851,-85.05010000,45096
74,292.76499851,-85.05010000,45091
75,307.76499851,-85.05010000,45071 45092
76,322.76499851,-85.05010000,45080
77,337.76499851,-85.05010000,45075
78,352.76499851,-85.05010000,45076
79,0.00000000,-84.15010000,32810 45077
80,12.85714286,-84.15010000,32809
81,25.71428571,-84.15010000,32806
82,38.57142857,-84.15010000,32805
83,51.42857143,-84.15010000,32794
84,64.28571429,-84.15010000,32793
85,77.14285714,-84.15010000,32790
86,90.00000000,-84.15010000,32789 36906
87,102.85714286,-84.15010000,36905
88,115.71428571,-84.15010000,36902
89,128.57142857,-84.15010000,36901
90,141.42857143,-84.15010000,36890
91,154.28571429,-84.15010000,36889
92,167.14285714,-84.15010000,36886
93,180.00000000,-84.15010000,36885 41002
94,192.85714286,-84.15010000,41001
95,205.71428571,-84.15010000,40998
96,218.57142857,-84.15010000,40997
97,231.42857143,-84.15010000,40986
98,244.28571429,-84.15010000,40985
99,257.14285714,-84.15010000,40982
100,270.00000000,-84.15010000,40981 45098
101,282.85714286,-84.15010000,45097
102,295.71428571,-84.15010000,45094
103,308.57142857,-84.15010000,45093
104,321.42857143,-84.15010000,45082
105,334.28571429,-84.15010000,45081
106,347.14285714,-84.15010000,45078
107,5.70039744,-83.25010000,32896
108,16.95039744,-83.25010000,32811
109,28.20039744,-83.25010000,32812
110,39.45039744,-83.25010000,32807 32816
111,50.70039744,-83.25010000,32795
112,61.95039744,-83.25010000,32796
113,73.20039744,-83.25010000,32791
114,84.45039744,-83.25010000,32832
115,95.70039744,-83.25010000,36992
116,106.95039744,-83.25010000,36907
117,118.20039744,-83.25010000,36908
118,129.45039744,-83.25010000,36903 36912
119,140.70039744,-83.25010000,36891
120,151.95039744,-83.25010000,36892
121,163.20039744,-83.25010000,36887
122,174.45039744,-83.25010000,36928
123,185.70039744,-83.25010000,41088
124,196.95039744,-83.25010000,41003
125,208.20039744,-83.25010000,41004
126,219.45039744,-83.25010000,40999 41008
127,230.70039744,-83.25010000,40987
128,241.95039744,-83.25010000,40988
129,253.20039744,-83.25010000,40983
130,264.45039744,-83.25010000,41024
131,275.70039744,-83.25010000,45184
132,286.95039744,-83.25010000,45099
133,298.20039744,-83.25010000,45100
134,309.45039744,-83.25010000,45095 45104
135,320.70039744,-83.25010000,45083
136,331.95039744,-83.25010000,45084
137,343.20039744,-83.25010000,45079
138,354.45039744,-83.25010000,45120
139,0.00000000,-82.35010000,32898 32904 45121 45124
140,10.00000000,-82.35010000,32897 32899
141,20.00000000,-82.35010000,32814 32900
142,30.00000000,-82.35010000,32813 32815
143,40.00000000,-82.35010000,32818 32819 32824
144,50.00000000,-82.35010000,32817 32820
