Method,Dataset,Budget,w_max,w_acc,nPath,mapTiles,SumProb,SumProbBound,TilingTime,PlanningTime,IsValid,path 0,path 1,path 2,path 3
top_ILP,GW191113_071753_952.txt,100,10,10,4,952,0.566858,0.579855,0.21001,3604.47,true,1971 2791 2971 3061 3149 3238 3325 3584 4137 4279 4413 -1,3268 2384 2294 2205 2027 2115 2116 2028 1940 1853 1854 1767 1682 1597 1515 1433 1353 1274 1273 1352 1432 1514 1596 1681 1766 1765 1680 1595 1513 1431 1272 1196 1120 1048 908 977 1049 1122 1198 1275 1354 1434 1516 1598 1517 1435 1355 1276 -1,1533 438 388 342 387 437 488 542 487 436 386 340 385 435 434 485 539 484 538 594 653 654 715 595 596 540 486 541 597 656 717 655 716 780 779 844 912 1052 980 911 843 778 714 978 909 841 776 -1,159 301 261 222 187 154 125 124 153 221 260 300 344 389 343 299 259 220 185 219 258 298 341 297 257 218 256 296 339 384 433 483 537 593 652 713 777 842 910 979 1051 1124 1200 1199 1123 1050 1121 1197 -1
greedy+annealing,GW191113_071753_952.txt,200,10,10,4,952,0.705674,0.705674,0.089451,8.86757,true,159 261 260 300 259 299 343 389 388 342 437 387 341 386 436 487 486 435 385 339 384 434 485 540 596 541 597 656 655 716 780 912 844 779 715 654 595 539 484 538 594 653 714 778 843 911 980 1052 1200 1124 1051 979 910 842 777 776 841 909 978 1050 1123 1199 1276 1355 1435 1434 1516 1598 1515 1597 1682 1767 1854 1940 2028 2027 1939 1853 1766 1681 1596 1514 1432 1352 1273 1196 1048 1121 1197 1274 1353 1433 1354 1275 1198 1122 1049 977 908 -1,3268 2384 2294 2205 2116 2115 2204 2026 1938 1852 1765 1680 1595 1513 1431 1351 1272 1120 713 652 593 537 483 433 383 338 256 296 340 297 257 219 258 298 542 488 438 344 301 221 220 186 153 124 125 154 187 222 155 126 2791 2971 3149 3238 3325 3584 4137 4279 4413 -1,1533 223 188 99 76 75 98 185 152 184 218 717 845 981 1125 1277 1517 1599 1683 1768 1941 2029 1594 1679 1764 1851 1937 2025 4539 4414 4348 4280 4064 4063 3987 3749 3583 3498 3412 3150 3061 3060 -1,1971 2701 2610 2790 2881 2882 3324 3151 3239 3413 3666 3988 4138 4210 4657 4541 4540 4478 4209 3909 3830 3667 3585 -1
greedy+ilp,GW191113_071753_952.txt,200,10,10,4,952,0.695953,0.695953,0.0864108,27166,true,159 261 260 300 344 389 343 299 259 342 388 437 387 341 386 436 487 541 597 656 596 655 716 780 912 844 779 715 654 595 539 485 540 486 435 385 339 384 434 484 538 594 653 714 778 843 911 980 1052 1200 1124 1051 979 910 842 777 776 841 909 978 1050 1123 1199 1276 1355 1435 1598 1516 1434 1354 1275 1198 1122 1049 977 908 1048 1121 1196 1273 1197 1274 1353 1433 1515 1597 1682 1767 1854 1940 2028 2027 1939 1853 1766 1681 1596 1514 1432 -1,3268 4413 4279 4137 3584 3325 3238 3149 3061 2971 155 126 125 124 153 186 221 222 187 154 258 298 488 542 296 256 218 257 219 185 220 297 340 433 483 537 593 652 713 1517 2384 2294 2205 2116 2115 2204 2026 1938 1852 1765 1680 1595 1513 1431 1352 -1,1971 2791 2881 3060 3150 3412 3498 3583 3749 3987 4063 4064 4280 4348 4414 4539 99 76 75 188 223 301 438 152 184 295 338 383 976 1120 1272 1351 1594 1679 1764 1851 -1,1533 2610 2701 2790 2882 3324 3413 3666 3667 3830 3909 3988 4138 4210 4478 4540 4541 4657 1512 2029 1941 1855 1768 1683 1599 1356 1277 1125 981 845 -1
top_annealing,GW191113_071753_952.txt,200,10,10,4,952,0.716907,0.716907,0.0859702,2.29535,true,1971 2790 2881 2791 2882 2971 3061 3149 3324 3238 3325 3412 3498 3584 3585 3667 3987 4063 4064 4137 4209 4280 4348 4413 -1,3268 3613 4657 4541 4540 4539 4478 4414 4279 4210 4138 3988 3909 3830 3749 3666 3583 3413 3239 3151 3150 3060 2701 2610 -1,1533 390 344 300 260 259 299 343 389 388 342 437 387 341 386 436 487 597 541 486 435 385 485 434 384 433 484 538 594 539 540 596 656 717 716 655 595 654 715 779 844 912 981 980 911 843 778 714 653 713 777 842 910 979 1051 1124 1200 1199 1276 1355 1598 1516 1434 1354 1275 1198 1197 1274 1353 1433 1515 1597 1682 1767 1854 1940 2028 1853 1766 1681 1596 1514 1432 1352 1273 1196 1121 1048 977 1049 1122 1123 1050 978 909 841 776 712 -1,159 77 127 156 223 188 155 126 99 76 75 98 125 154 187 222 261 301 221 186 153 124 152 185 220 298 258 219 184 218 257 297 340 296 256 339 295 338 383 483 537 593 652 840 908 976 1120 1272 1351 1431 1513 1430 1512 1594 1679 1595 1680 1765 1852 1764 1851 1938 2026 2114 1939 2027 2115 2204 2293 2383 2473 2384 2385 2294 2205 2116 2206 2029 1941 1855 1768 1683 1599 1517 1435 1277 1125 1052 845 780 657 542 488 489 438 -1
top_ILP,GW191113_071753_952.txt,200,10,10,4,952,0.714175,0.724075,0.0859702,3602.26,true,1971 2610 2701 2790 2881 2791 2882 2971 3060 3149 3061 3150 3238 3324 3412 3325 3413 3239 3585 3667 3498 3583 3666 3584 -1,3268 4657 4541 4540 4539 4209 4137 4063 4478 4414 4413 4348 4280 4279 4210 4138 4064 3988 3910 3830 3749 3987 3151 -1,1533 489 438 388 342 387 437 488 542 487 597 541 596 540 486 435 845 780 716 655 595 539 485 434 385 339 384 295 338 383 483 537 593 653 714 778 843 911 980 1125 1052 1356 1277 1200 1124 1051 979 910 842 777 713 652 712 776 841 909 978 1050 1123 1199 1276 1355 1435 1517 1599 1683 1598 1516 1434 1354 1275 1198 1122 1049 977 908 976 1048 1120 1196 1273 1352 1432 1514 1596 1681 1766 1853 1939 2027 1852 1765 1680 1595 1513 1431 1351 1272 -1,159 127 156 77 76 75 98 124 153 186 125 99 126 189 301 261 222 187 154 155 188 223 221 260 300 344 389 343 299 259 220 185 152 184 218 256 296 340 298 258 219 257 297 341 386 436 717 656 433 484 538 594 654 715 779 844 912 981 1121 1197 1274 1353 1433 1515 1597 1682 1767 1854 1940 2028 2116 2206 2385 2294 2115 2204 2293 2384 2473 2383 1938 1851 2205 2029 1941 2114 2026 1764 1679 1594 1512 1430 -1
greedy+annealing,GW191113_071753_952.txt,400,10,10,4,952,0.85925,0.85925,0.0896661,14.5128,true,159 155 126 154 125 153 124 152 218 256 296 339 338 383 483 537 593 652 713 777 842 910 979 1050 978 909 841 776 908 977 1049 1121 1048 1120 1196 1272 1351 1431 1513 1595 1680 1765 1852 1938 2026 2204 2384 2294 2205 2115 2027 1939 2116 2028 1940 1853 1766 1681 1596 1514 1854 1767 1682 1597 1515 1433 1432 1352 1273 1353 1274 1197 1122 1198 1275 1354 1434 1516 1598 1683 1599 1517 1435 1355 1276 1199 1123 1051 1124 1200 1125 1052 980 911 843 778 714 653 594 538 484 433 384 434 485 539 595 654 715 779 844 912 845 780 716 655 717 656 597 541 596 540 486 435 385 340 386 436 487 542 488 437 387 341 297 257 219 258 298 342 388 438 389 343 299 259 220 185 186 221 260 300 344 301 261 222 223 2791 2971 3149 3238 3325 3584 4137 4279 -1,3268 2473 2383 2293 2385 2206 2029 1941 2114 2025 1937 1851 1764 1679 1594 1512 1430 976 840 712 295 184 187 188 98 75 76 99 77 100 127 156 2610 2701 2790 2881 2882 3060 3061 3150 3151 3239 3324 3412 3413 3498 3583 3666 3749 3667 3585 3830 3909 4063 3987 3910 3988 4064 4138 4210 4280 4348 4413 4414 4478 4539 4540 4541 4657 -1,1533 262 345 390 439 489 657 781 981 1277 1356 1768 1855 2117 2295 2474 2564 2563 4658 4712 4656 4600 4601 4416 4415 4282 4281 4066 4139 4211 4347 4278 4209 4065 3989 3911 4136 3986 3829 3750 3668 3586 3500 3499 3414 3327 3240 3326 3497 3237 3148 2970 2972 2883 2792 2702 2611 2520 -1,1971 2340 2700 2521 2522 2612 2703 2793 2973 3062 3063 3152 3415 3748 3831 3751 3669 3752 3832 3912 4140 4212 4349 4412 4477 4599 4479 4350 4480 4417 4481 4542 4602 4713 4659 4714 4660 4544 2291 2382 2292 2203 2113 2202 2112 2024 1850 1763 1678 1195 1047 907 775 651 592 432 255 217 183 151 123 97 55 56 189 224 263 -1
greedy+ilp,GW191113_071753_952.txt,400,10,10,4,952,0.853571,0.853571,0.0867738,32437,true,3268 2384 2204 2294 2205 2116 2028 1940 1854 1767 1682 1597 1515 1433 1353 1274 1197 1121 1048 976 1120 1196 1273 1352 1432 1514 1513 1595 1680 1765 1852 1938 2114 2026 2027 2115 1939 1853 1766 1681 1596 1594 1851 1764 1679 910 979 1051 912 981 844 779 715 654 595 539 484 433 384 339 338 383 485 434 385 435 486 541 540 596 655 716 845 780 717 656 597 542 487 436 386 340 296 256 257 218 184 219 185 220 259 299 343 489 488 437 387 341 297 298 258 342 388 438 389 344 300 345 155 188 223 189 127 100 126 76 75 56 99 125 154 187 222 261 301 260 221 186 153 124 97 123 152 841 842 777 776 713 652 593 537 483 538 594 653 714 778 843 911 980 1052 1125 1124 1200 1199 1276 1355 1435 1517 1599 1683 1598 1516 1434 1354 1275 1198 1122 1049 977 908 909 978 1050 1123 1277 1768 1941 2029 2292 2293 1430 1431 1351 1272 -1,1971 2610 2701 2790 2881 2791 2882 2971 3060 3149 3061 3150 3238 3324 3412 3325 3239 3151 3413 3498 3583 3666 3584 3499 3585 3667 3749 3830 3909 4063 3987 3910 3988 4064 4137 4138 4210 4279 4347 4280 4348 4413 4414 4478 4539 4540 4541 4657 -1,159 2520 2611 2702 2792 2883 2972 2970 3148 3237 3497 3326 3240 3327 3414 3500 3586 3668 3750 3829 3986 4136 4278 4209 3911 3989 4065 4066 4139 4211 4281 4282 4415 4416 4542 4658 4712 4601 4600 4656 2025 1937 295 98 2202 2113 2203 2383 2473 2564 2474 2385 2295 2206 2117 -1,1533 2700 2880 2339 2340 2430 2521 2522 2612 2703 2793 2973 3062 3063 3152 3415 3748 3831 3751 3669 3752 3832 3912 4140 4212 4349 4350 4479 4480 4481 4417 4602 4713 4659 4714 4818 4863 4817 4661 4715 4660 4544 4543 4599 4477 4412 -1
top_annealing,GW191113_071753_952.txt,400,10,10,4,952,0.866064,0.866064,0.0857027,10.1488,true,1971 2340 2520 2430 2521 2701 2790 2881 2970 3148 3060 3061 3149 3237 3324 3238 3150 3239 3325 3412 3497 3583 3498 3413 3326 3414 3499 3584 3585 3667 3909 3986 3987 4063 4136 4137 4065 4138 4210 4279 4347 4412 4477 4478 4539 4599 4600 4656 -1,3268 3613 4817 4715 4660 4714 4659 4544 4543 4417 4542 4602 4712 4657 4540 4479 4415 4350 4282 4140 4212 4281 4349 4414 4413 4278 4209 4064 3988 3911 3832 3669 3751 3749 3829 3748 3666 3152 3063 2973 2793 2703 2612 2522 2611 2610 2700 2880 -1,1533 302 345 301 261 223 262 263 224 189 156 127 100 77 125 153 186 221 260 300 344 390 439 389 343 299 259 220 185 342 388 438 489 543 488 437 387 341 297 256 296 340 386 436 487 542 598 657 597 541 486 435 385 339 384 434 485 540 596 656 717 781 913 845 780 716 655 595 539 484 433 538 594 653 714 654 715 779 844 912 981 1053 1125 1052 980 911 843 778 842 910 979 1051 1124 1200 1201 1277 1356 1436 1518 1600 1599 1517 1435 1355 1276 1354 1434 1516 1598 1683 1768 1855 1767 1854 1941 2029 2117 1940 2028 2116 2205 2206 2295 2385 2474 2564 2653 2563 2472 2382 2292 2383 2293 2204 2115 2027 1939 1852 1938 2026 2114 2203 2113 2025 1937 1851 1764 1679 1680 1765 1853 1766 1681 1682 1597 1515 1433 1432 1514 1596 1431 1351 1352 1353 1274 1197 1273 1196 1120 1048 1121 1049 1122 1198 1275 1199 1123 1050 978 909 977 908 907 840 775 776 841 777 713 652 593 537 592 651 -1,159 157 128 78 56 55 76 99 126 155 188 222 187 154 98 75 97 124 152 123 151 184 219 258 298 257 218 183 217 255 295 338 383 432 483 712 976 1047 1195 1272 1430 1512 1513 1595 1594 1678 1763 1850 1936 2024 2112 2202 2291 2294 2384 2473 4713 4658 4601 4541 4480 4416 4348 4280 4211 4139 4066 3989 3912 3831 3910 3830 3750 3668 3586 3500 3415 3327 3240 3151 3062 2972 2883 2792 2882 2971 2791 2702 -1
greedy+annealing,GW191113_071753_952.txt,800,10,10,4,952,0.961931,0.961931,0.0898893,19.9748,true,159 156 127 100 77 76 99 126 155 188 223 262 301 261 222 187 154 125 98 75 124 153 186 221 260 300 344 389 343 299 259 220 185 152 151 184 219 258 298 342 388 438 489 488 437 387 341 297 257 218 256 296 340 386 436 487 542 657 597 541 486 435 385 339 295 338 384 434 485 540 596 656 717 845 780 716 655 595 539 484 433 383 483 538 594 654 715 779 844 912 981 1125 1052 980 911 843 778 714 653 593 537 652 713 777 842 910 979 1051 1124 1200 1277 1356 1355 1276 1199 1123 1050 978 909 841 776 712 840 908 977 1049 1122 1198 1275 1354 1434 1435 1517 1599 1516 1598 1683 1768 1941 2029 2206 2116 2028 1940 1854 1767 1682 1597 1515 1433 1353 1274 1197 1121 1048 976 1120 1196 1273 1352 1432 1514 1596 1681 1766 1853 1939 2027 2115 2205 2294 2385 2474 2473 2384 2293 2204 2114 2026 1938 1852 1765 1680 1595 1513 1431 1351 1272 1430 1512 1594 1679 1764 1851 1937 2025 2113 2203 2383 4657 4541 4540 4539 4478 4414 4413 4348 4280 4279 4210 4138 3988 4064 4137 4209 4063 3987 3910 3830 3909 3749 3666 3583 3498 3412 3324 3238 3149 3060 2881 2790 2610 2701 2791 2882 2971 3061 3150 3151 3239 3325 3413 3584 3667 3585 -1,1971 2429 2520 2700 2880 2970 3148 3237 3497 3748 3829 3986 4136 4278 4347 4412 4477 4538 4599 4656 4600 4601 4712 4713 4659 4714 4765 4715 4660 4544 4543 4658 4602 4542 4481 4417 4416 4480 4479 4415 4350 4282 4349 4281 4212 4140 4211 4139 4066 4065 3989 3912 3752 3832 3911 3831 3751 3669 3586 3668 3750 3500 3415 3327 3414 3499 3326 3240 3152 3063 2973 3062 2972 2883 2793 2703 2792 2702 2612 2522 2611 2521 2430 2340 189 224 263 345 390 439 56 55 97 123 183 217 255 432 592 651 775 907 1047 1195 1678 1763 1850 2024 2112 2202 2291 2292 2382 2472 2563 2653 2564 2295 2117 1855 -1,1533 391 346 302 303 264 265 306 350 397 351 352 307 266 226 225 190 157 128 101 78 57 54 74 96 122 150 490 544 543 598 658 781 913 1053 1201 1278 1437 1519 1601 1436 1518 1600 1684 1769 1856 1942 2030 2565 2654 2744 2833 2743 2652 2562 2471 2381 2290 2201 2561 2651 2741 2831 4719 4819 4864 4863 4818 4769 4718 4768 4717 4662 4606 4547 4546 4661 4605 4545 4604 4603 4483 4482 4418 4352 4351 4283 4213 4141 4067 3990 3913 3753 3670 3587 3501 3416 3328 3241 3153 3064 2974 2884 2794 2613 2523 2432 2342 2251 2431 2341 2250 2161 2249 2339 2519 2609 2789 3059 3411 3582 3665 3908 4062 4208 4655 4711 4763 4813 4764 4814 4815 4861 4816 4862 4817 4767 4716 4766 -1,3268 3184 2740 2650 2470 2380 1936 1593 1511 1350 1271 1119 839 536 482 431 382 337 294 216 182 38 39 129 158 191 227 267 398 396 349 305 304 348 347 440 491 546 545 601 661 660 721 785 784 599 718 846 914 983 982 1054 1357 1685 1770 1857 1943 2031 2118 2207 2475 2832 2742 2921 2830 3529 3613 3695 3777 3776 4296 4295 4428 4491 4427 4426 4551 4552 4667 4721 4666 4720 4771 4820 4865 4770 4665 4609 4550 4489 4425 4424 4488 4549 4608 4664 4663 4607 4548 4487 4423 4486 4422 4485 4421 4484 4420 4419 4353 4284 4214 4142 4068 3991 3833 3502 2885 2704 2524 2433 2343 2252 2163 2073 1985 2162 2072 1984 1983 2071 2160 3323 3496 3747 3828 3985 4135 4346 4411 4476 4598 4710 4860 -1
greedy+ilp,GW191113_071753_952.txt,800,10,10,4,952,0.960788,0.960788,0.0858119,36019.6,true,1533 780 845 717 656 596 597 541 486 540 485 539 595 655 716 435 385 434 339 384 433 484 538 594 654 715 779 844 912 981 2385 2294 2384 2473 2383 2293 2204 2114 2026 1938 1851 2113 2025 1937 1764 1679 1594 1512 1430 1598 1683 1768 1855 2029 1941 1854 1767 1682 1597 1515 1433 1353 1274 1197 1121 1048 976 1120 1196 1273 1352 1432 1514 1596 1681 1766 1853 1940 2028 2116 2206 2205 2115 2027 1939 1852 1765 1680 1595 1513 1431 1351 1272 840 908 977 1049 1051 979 910 842 777 713 652 712 776 841 909 978 1050 1123 1199 1276 1355 1435 1517 1599 1516 1434 1354 1275 1198 1122 1277 1200 1124 1125 1052 980 911 843 778 714 653 593 537 483 383 338 295 256 296 340 386 436 487 542 488 437 387 341 297 257 218 184 219 258 298 342 388 438 389 343 299 259 220 185 152 124 153 186 221 260 300 344 301 261 222 187 154 125 98 75 76 99 126 155 188 223 262 2610 2701 2790 2881 2791 2882 2971 3060 3149 3061 3151 3150 3238 3324 3412 3325 3413 3498 3583 3666 3584 3499 3585 3667 3749 3909 3830 3910 3987 4063 4209 4137 4064 3988 4138 4210 4279 4347 4280 4348 4413 4414 4478 4539 4540 4541 4657 -1,1971 263 224 189 156 127 100 77 56 55 97 123 151 183 217 255 432 592 651 775 907 1047 1195 1678 1763 1850 2024 2112 2202 2291 2382 2472 2563 2653 2564 2474 2295 2117 1518 1356 1053 913 781 657 598 543 489 439 390 345 546 4136 4278 4412 4477 4538 4599 4656 4600 4601 4712 4658 4713 4659 4714 3986 3829 3748 3497 3237 3148 2970 2880 2700 2520 2340 2430 2521 2611 2522 2612 2702 2792 2703 2793 2883 2972 3062 2973 3063 3152 3240 3239 3326 3414 3327 3415 3500 3586 3668 3750 3831 3751 3669 3752 3832 3911 3912 3989 4065 4066 4139 4211 4140 4212 4281 4349 4282 4350 4415 4479 4480 4416 4417 4481 4542 4602 4543 4544 -1,3268 2741 2651 2561 2471 2381 2290 2201 1936 2203 2292 2562 2652 2743 2833 2744 2654 2565 1942 1856 1769 1684 1600 1601 1519 1437 1201 658 544 490 440 391 346 302 303 122 96 74 54 57 78 101 128 157 190 225 264 265 266 307 352 351 397 350 2429 2609 2789 3411 3582 3665 3908 4062 4208 4655 4711 4763 4813 4764 4814 4765 4815 4861 4862 4817 4863 4864 4819 4719 4718 4769 4818 4768 4717 4662 4606 4547 4546 4605 4661 4716 4767 4816 4766 4715 4660 4604 4545 4483 4603 4482 4418 4352 4351 4283 4213 4141 4067 3990 3913 3753 3670 3587 3501 3416 3328 3241 3153 3064 2974 2884 2794 2613 2523 2432 2431 2342 2251 2341 2250 2161 2249 2339 -1,159 159 158 191 226 306 305 349 304 348 129 39 38 150 182 216 294 337 382 482 536 839 1119 1271 1350 1511 1593 2380 2470 2650 2830 2921 2831 2742 2832 2475 1943 2031 2030 2118 2207 1770 1685 1436 1357 1278 1054 982 846 914 718 599 600 660 721 785 784 601 545 491 347 227 267 398 1983 1984 2072 2162 2073 2163 2252 2343 2433 2524 2704 2885 1985 2071 2160 2519 3059 3323 3496 3747 3828 3985 4135 4346 4411 4476 4598 4710 3502 3833 3991 4068 4142 4214 4284 4353 4419 4420 4484 4421 4485 4422 4486 4423 4487 4548 4607 4663 4770 4865 4771 4820 4664 4608 4549 4488 4424 4425 4489 4550 4609 4665 4720 4666 4551 4426 4427 4491 4552 4667 4721 4428 4295 4296 -1
