Method,Dataset,Budget,w_max,w_acc,nPath,mapTiles,SumProb,SumProbBound,TilingTime,PlanningTime,IsValid,path 0
greedy+annealing,GW191113_071753_952.txt,100,10,10,1,952,0.295428,0.295428,0.109185,0.790609,true,1971 343 388 342 387 487 541 486 540 596 655 716 779 715 654 595 539 485 484 538 653 778 843 911 980 1124 1051 979 910 909 1050 1123 1199 1276 1355 1434 1516 1433 1274 1197 1121 1049 1122 1198 1275 1354 -1
greedy+ilp,GW191113_071753_952.txt,100,10,10,1,952,0.295468,0.295468,0.10964,260.847,true,1971 343 388 342 387 436 487 541 486 596 540 485 539 595 655 654 715 779 778 843 911 980 1052 1124 1051 979 910 909 978 1050 1123 1199 1276 1355 1434 1354 1275 1198 1122 1049 1121 1197 1274 1353 1433 1515 1597 -1
top_annealing,GW191113_071753_952.txt,100,10,10,1,952,0.295364,0.295364,0.108129,0.0582601,true,1971 343 388 342 387 436 487 541 486 485 540 596 716 655 595 539 484 538 654 715 779 778 843 911 980 1124 1051 979 910 909 1050 1123 1199 1276 1355 1434 1516 1433 1354 1275 1198 1122 1049 1121 1197 1274 -1
top_ILP,GW191113_071753_952.txt,100,10,10,1,952,0.295468,0.295749,0.108129,275.966,true,1971 343 388 342 387 436 487 541 486 596 540 485 539 595 655 654 715 779 778 843 911 980 1052 1124 1051 979 910 909 978 1050 1123 1199 1276 1355 1434 1354 1275 1198 1122 1049 1121 1197 1274 1353 1433 1515 1597 -1
greedy+annealing,GW191113_071753_952.txt,100,10,10,2,952,0.436542,0.436542,0.113317,2.38922,true,3268 1597 1515 1433 1274 1197 1121 1049 1122 1198 1275 1354 1434 1355 1276 1199 1123 1050 978 909 910 979 1051 1124 980 911 843 778 779 715 654 538 484 539 595 655 596 540 485 486 541 487 436 387 342 388 343 -1,1971 261 260 300 259 299 341 386 385 434 384 594 653 714 777 842 841 977 1196 1273 1353 1432 1514 1596 1681 1766 1853 1939 2027 2028 1940 1854 1767 1682 1598 1516 1200 1052 912 844 780 716 656 597 -1
greedy+ilp,GW191113_071753_952.txt,100,10,10,2,952,0.436978,0.436978,0.110092,782.924,true,3268 1597 1515 1433 1274 1197 1121 1049 1122 1198 1275 1354 1434 1355 1276 1199 1123 1050 978 909 910 979 1051 1124 980 911 843 778 779 715 654 538 484 485 539 595 655 596 540 486 541 487 436 387 342 388 343 -1,1971 300 260 259 299 341 386 435 385 434 384 594 653 714 777 842 841 908 977 1048 1196 1273 1352 1432 1514 1596 1681 1766 1853 1939 2027 2028 1940 1854 1767 1682 1598 1516 1200 1052 912 844 780 716 656 -1
top_annealing,GW191113_071753_952.txt,100,10,10,2,952,0.438828,0.438828,0.108548,0.241263,true,1971 300 260 259 299 343 388 342 387 341 435 486 485 539 540 596 655 595 654 715 779 980 911 843 778 714 842 910 979 1050 1123 1051 1124 1199 1276 1355 1434 1516 1598 1515 1433 1354 1275 1198 1122 1197 -1,3268 2027 1939 2028 1940 1853 1766 1854 1767 1682 1597 1681 1596 1514 1432 1353 1274 1273 1196 1121 1048 977 1049 978 909 841 777 653 594 538 484 384 434 385 386 436 487 541 597 656 716 780 844 912 1052 1200 -1
top_ILP,GW191113_071753_952.txt,100,10,10,2,952,0.445794,0.447066,0.108548,3604.94,true,1971 344 300 260 259 299 343 388 342 437 387 341 386 436 487 541 597 656 596 540 486 435 385 339 384 434 485 539 484 538 594 653 714 778 843 911 980 1052 912 844 779 715 654 595 655 716 780 -1,3268 1432 1514 1596 1681 1766 1853 1939 2027 2028 1940 1854 1767 1682 1597 1515 1433 1353 1274 1197 1273 1196 1121 977 1049 1122 1198 1275 1354 1434 1516 1598 1435 1355 1276 1199 1123 1050 978 909 841 777 842 910 979 1051 1124 1200 -1
greedy+annealing,GW191113_071753_952.txt,100,10,10,4,952,0.562891,0.562891,0.208748,7.6745,true,159 343 388 342 387 436 487 541 486 540 596 716 655 595 539 485 484 538 653 654 715 779 844 778 843 911 980 1124 1051 979 910 909 1049 1121 1197 1274 1433 1516 1434 1354 1275 1198 1122 1050 1123 1199 1276 1355 -1,1533 300 260 259 299 341 386 435 385 339 384 434 597 656 780 912 1052 1200 1435 1598 1515 1597 1682 1767 1854 1940 2028 2027 1939 1853 1766 1681 1596 1514 1432 1353 1273 1196 977 978 841 842 777 714 594 -1,3268 2384 2294 2205 2116 2115 1852 1765 1680 1595 1513 1431 1352 1048 908 776 713 652 593 537 483 433 296 340 297 257 219 258 298 220 221 186 153 125 126 154 222 261 301 344 389 438 437 488 542 -1,1971 3149 3061 2971 2791 4137 4279 4413 3584 3325 3238 -1
