# nside 64 NEST
# pix_id lat lon prob
0 0.597 45.000 3.6800479296723777e-05
1 1.194 45.703 3.7957751275876480e-05
2 1.194 44.297 3.7070305597529604e-05
3 1.791 45.000 3.8192813298978710e-05
4 1.791 46.406 3.9054335805386186e-05
5 2.388 47.109 4.0094766576834812e-05
6 2.388 45.703 3.9251539468146269e-05
7 2.986 46.406 4.0251402808025424e-05
8 1.791 43.594 3.7271758944232400e-05
9 2.388 44.297 3.8347679947872763e-05
10 2.388 42.891 3.7388290473602943e-05
11 2.986 43.594 3.8408854941901700e-05
12 2.986 45.000 3.9358542548144633e-05
13 3.583 45.703 4.0309929805368546e-05
14 3.583 44.297 3.9365642395433851e-05
15 4.182 45.000 4.0265084617904997e-05
16 2.986 47.812 4.1085905453563144e-05
17 3.583 48.516 4.2036657171903750e-05
18 3.583 47.109 4.1199736951608810e-05
19 4.182 47.812 4.2106000247687721e-05
20 4.182 49.219 4.2957623489551711e-05
21 4.780 49.922 4.3860674760339187e-05
22 4.780 48.516 4.2981413002103424e-05
23 5.379 49.219 4.3838501537113424e-05
24 4.182 46.406 4.1209839662519762e-05
25 4.780 47.109 4.2068387758469178e-05
26 4.780 45.703 4.1115931338479091e-05
27 5.379 46.406 4.1928949116279780e-05
28 5.379 47.812 4.2897432173938312e-05
29 5.979 48.516 4.3710100330921793e-05
30 5.979 47.109 4.2716541232598855e-05
31 6.580 47.812 4.3492268702412442e-05
32 2.986 42.188 3.7410922477292669e-05
33 3.583 42.891 3.8372208489289714e-05
34 3.583 41.484 3.7342341030977467e-05
35 4.182 42.188 3.8246522097588713e-05
36 4.182 43.594 3.9274086161501616e-05
37 4.780 44.297 4.0123875670077081e-05
38 4.780 42.891 3.9098925144558154e-05
39 5.379 43.594 3.9907621031606331e-05
40 4.182 40.781 3.7198837613535666e-05
41 4.780 41.484 3.8054549709505805e-05
42 4.780 40.078 3.7009273326449552e-05
43 5.379 40.781 3.7830924716498844e-05
44 5.379 42.188 3.8869103233721969e-05
45 5.979 42.891 3.9650997558849444e-05
46 5.979 41.484 3.8624290124718766e-05
47 6.580 42.188 3.9397813153776514e-05
48 5.379 45.000 4.0931019324544980e-05
49 5.979 45.703 4.1706783508155318e-05
50 5.979 44.297 4.0682515706683474e-05
51 6.580 45.000 4.1435064540392933e-05
52 6.580 46.406 4.2463883136901577e-05
53 7.181 47.109 4.3216007740144111e-05
