# nside 64 NEST
# pix_id lat lon prob
0 0.597 45.000 2.4584749892201177e-03
1 1.194 45.703 6.5199774074047403e-04
2 1.194 44.297 2.5559114765472419e-03
3 1.791 45.000 1.2893307722457224e-03
4 1.791 46.406 5.9905644865159823e-05
5 2.388 47.109 7.4764934989655779e-09
6 2.388 45.703 1.5240833480990640e-04
7 2.986 46.406 2.2280730611900555e-06
8 1.791 43.594 2.0696186814856089e-03
9 2.388 44.297 2.0376142067462882e-03
10 2.388 42.891 1.2731752686631946e-03
11 2.986 43.594 2.4230095216772910e-03
12 2.986 45.000 3.6361833185267637e-04
13 3.583 45.703 1.8761098425886394e-05
14 3.583 44.297 8.3508831597772521e-04
15 4.182 45.000 2.3712861231596058e-05
16 2.986 47.812 4.8831324567570337e-26
17 3.583 48.516 4.8831324567570337e-26
18 3.583 47.109 4.8831324567570337e-26
19 4.182 47.812 4.8831324567570337e-26
20 4.182 49.219 4.1774624489833280e-80
21 4.780 49.922 4.1774624489833280e-80
22 4.780 48.516 4.1774624489833280e-80
23 5.379 49.219 4.1774624489833280e-80
24 4.182 46.406 4.1203170925396394e-13
25 4.780 47.109 4.1203170925396394e-13
26 4.780 45.703 4.1203170925396394e-13
27 5.379 46.406 4.1203170925396394e-13
28 5.379 47.812 1.9711540373973016e-52
29 5.979 48.516 1.9711540373973016e-52
30 5.979 47.109 1.9711540373973016e-52
31 6.580 47.812 1.9711540373973016e-52
32 2.986 42.188 5.5477701536553827e-04
33 3.583 42.891 2.2301969260941868e-03
34 3.583 41.484 9.0149206274802341e-05
35 4.182 42.188 1.5455827494639273e-03
36 4.182 43.594 1.4556080636790503e-03
37 4.780 44.297 1.6900644088798015e-04
38 4.780 42.891 2.0072709289160077e-03
39 5.379 43.594 4.4912969797410726e-04
40 4.182 40.781 3.7722453764224040e-05
41 4.780 41.484 7.4515592563499059e-04
42 4.780 40.078 1.9844461154393069e-05
43 5.379 40.781 2.7110094952925262e-04
44 5.379 42.188 2.1421443322972491e-03
45 5.979 42.891 9.0917203094660452e-04
46 5.979 41.484 1.7005753740341816e-03
47 6.580 42.188 1.4193596448662995e-03
48 5.379 45.000 1.1525011173300846e-05
49 5.979 45.703 2.1043446202026406e-11
50 5.979 44.297 2.2266028010516280e-05
51 6.580 45.000 8.0580446188619124e-08
52 6.580 46.406 4.1238065796733991e-31
53 7.181 47.109 4.1238065796733991e-31
54 7.181 45.703 4.1238065796733991e-31
55 7.783 46.406 4.1238065796733991e-31
56 6.580 43.594 6.8650254683414063e-05
57 7.181 44.297 8.9962906491586459e-06
58 7.181 42.891 3.2971360692014509e-04
59 7.783 43.594 4.0793989583733487e-05
60 7.783 45.000 3.1129854630411666e-16
