# nside 64 NEST
# pix_id lat lon prob
0 0.597 45.000 6.3227295183910672e-07
1 1.194 45.703 6.3227295183910672e-07
2 1.194 44.297 6.3227295183910672e-07
3 1.791 45.000 6.3227295183910672e-07
4 1.791 46.406 1.4256306784849221e-07
5 2.388 47.109 1.4256306784849221e-07
6 2.388 45.703 1.4256306784849221e-07
7 2.986 46.406 1.4256306784849221e-07
8 1.791 43.594 5.6167420895272529e-07
9 2.388 44.297 5.6167420895272529e-07
10 2.388 42.891 5.6167420895272529e-07
11 2.986 43.594 5.6167420895272529e-07
12 2.986 45.000 1.2185245669854737e-07
13 3.583 45.703 1.2185245669854737e-07
14 3.583 44.297 1.2185245669854737e-07
15 4.182 45.000 1.2185245669854737e-07
16 2.986 47.812 2.8390270006758485e-09
17 3.583 48.516 2.8390270006758485e-09
18 3.583 47.109 2.8390270006758485e-09
19 4.182 47.812 2.8390270006758485e-09
20 4.182 49.219 2.8390270006758485e-09
21 4.780 49.922 2.8390270006758485e-09
22 4.780 48.516 2.8390270006758485e-09
23 5.379 49.219 2.8390270006758485e-09
24 4.182 46.406 2.8390270006758485e-09
25 4.780 47.109 2.8390270006758485e-09
26 4.780 45.703 2.8390270006758485e-09
27 5.379 46.406 2.8390270006758485e-09
28 5.379 47.812 2.8390270006758485e-09
29 5.979 48.516 2.8390270006758485e-09
30 5.979 47.109 2.8390270006758485e-09
31 6.580 47.812 2.8390270006758485e-09
32 2.986 42.188 5.0767672101587061e-07
33 3.583 42.891 5.0767672101587061e-07
34 3.583 41.484 5.0767672101587061e-07
35 4.182 42.188 5.0767672101587061e-07
36 4.182 43.594 1.0780427218940681e-07
37 4.780 44.297 1.0780427218940681e-07
38 4.780 42.891 1.0780427218940681e-07
39 5.379 43.594 1.0780427218940681e-07
40 4.182 40.781 4.6671911328680911e-07
41 4.780 41.484 4.6671911328680911e-07
42 4.780 40.078 4.6671911328680911e-07
43 5.379 40.781 4.6671911328680911e-07
44 5.379 42.188 9.8680656729837024e-08
45 5.979 42.891 9.8680656729837024e-08
46 5.979 41.484 9.8680656729837024e-08
47 6.580 42.188 9.8680656729837024e-08
48 5.379 45.000 1.9922475808827721e-09
49 5.979 45.703 1.9922475808827721e-09
50 5.979 44.297 1.9922475808827721e-09
51 6.580 45.000 1.9922475808827721e-09
52 6.580 46.406 1.9922475808827721e-09
53 7.181 47.109 1.9922475808827721e-09
54 7.181 45.703 1.9922475808827721e-09
55 7.783 46.406 1.9922475808827721e-09
56 6.580 43.594 1.9922475808827721e-09
57 7.181 44.297 1.9922475808827721e-09
58 7.181 42.891 1.9922475808827721e-09
59 7.783 43.594 1.9922475808827721e-09
60 7.783 45.000 1.9922475808827721e-09
61 8.386 45.703 1.9922475808827721e-09
62 8.386 44.297 1.9922475808827721e-09
63 8.989 45.000 1.9922475808827721e-09
64 5.379 50.625 6.9772982264577279e-13
65 5.979 51.328 6.9772982264577279e-13
66 5.979 49.922 6.9772982264577279e-13
67 6.580 50.625 6.9772982264577279e-13
68 6.580 52.031 6.9772982264577279e-13
69 7.181 52.734 6.9772982264577279e-13
70 7.181 51.328 6.9772982264577279e-13
71 7.783 52.031 6.9772982264577279e-13
72 6.580 49.219 6.9772982264577279e-13
73 7.181 49.922 6.9772982264577279e-13
74 7.181 48.516 6.9772982264577279e-13
75 7.783 49.219 6.9772982264577279e-13
76 7.783 50.625 6.9772982264577279e-13
77 8.386 51.328 6.9772982264577279e-13
78 8.386 49.922 6.9772982264577279e-13
79 8.989 50.625 6.9772982264577279e-13
80 7.783 53.438 6.7112349170728609e-18
81 8.386 54.141 6.7112349170728609e-18
82 8.386 52.734 6.7112349170728609e-18
83 8.989 53.438 6.7112349170728609e-18
84 8.989 54.844 6.7112349170728609e-18
85 9.594 55.547 6.7112349170728609e-18
86 9.594 54.141 6.7112349170728609e-18
87 10.200 54.844 6.7112349170728609e-18
88 8.989 52.031 6.7112349170728609e-18
89 9.594 52.734 6.7112349170728609e-18
90 9.594 51.328 6.7112349170728609e-18
91 10.200 52.031 6.7112349170728609e-18
92 10.200 53.438 6.7112349170728609e-18
93 10.807 54.141 6.7112349170728609e-18
94 10.807 52.734 6.7112349170728609e-18
95 11.415 53.438 6.7112349170728609e-18
96 7.783 47.812 3.9541258714172528e-13
97 8.386 48.516 3.9541258714172528e-13
98 8.386 47.109 3.9541258714172528e-13
99 8.989 47.812 3.9541258714172528e-13
100 8.989 49.219 3.9541258714172528e-13
101 9.594 49.922 3.9541258714172528e-13
102 9.594 48.516 3.9541258714172528e-13
103 10.200 49.219 3.9541258714172528e-13
104 8.989 46.406 3.9541258714172528e-13
105 9.594 47.109 3.9541258714172528e-13
106 9.594 45.703 3.9541258714172528e-13
107 10.200 46.406 3.9541258714172528e-13
108 10.200 47.812 3.9541258714172528e-13
109 10.807 48.516 3.9541258714172528e-13
110 10.807 47.109 3.9541258714172528e-13
111 11.415 47.812 3.9541258714172528e-13
112 10.200 50.625 2.9000361117278824e-18
113 10.807 51.328 2.9000361117278824e-18
114 10.807 49.922 2.9000361117278824e-18
115 11.415 50.625 2.9000361117278824e-18
116 11.415 52.031 2.9000361117278824e-18
117 12.025 52.734 2.9000361117278824e-18
118 12.025 51.328 2.9000361117278824e-18
119 12.636 52.031 2.9000361117278824e-18
120 11.415 49.219 2.9000361117278824e-18
121 12.025 49.922 2.9000361117278824e-18
122 12.025 48.516 2.9000361117278824e-18
123 12.636 49.219 2.9000361117278824e-18
124 12.636 50.625 2.9000361117278824e-18
125 13.248 51.328 2.9000361117278824e-18
126 13.248 49.922 2.9000361117278824e-18
127 13.862 50.625 2.9000361117278824e-18
128 5.379 39.375 4.3582738929352340e-07
129 5.979 40.078 4.3582738929352340e-07
130 5.979 38.672 4.3582738929352340e-07
131 6.580 39.375 4.3582738929352340e-07
132 6.580 40.781 9.3288494963831194e-08
133 7.181 41.484 9.3288494963831194e-08
134 7.181 40.078 9.3288494963831194e-08
135 7.783 40.781 9.3288494963831194e-08
136 6.580 37.969 4.1250243065601335e-07
137 7.181 38.672 4.1250243065601335e-07
138 7.181 37.266 4.1250243065601335e-07
139 7.783 37.969 4.1250243065601335e-07
140 7.783 39.375 9.0801959261319397e-08
141 8.386 40.078 9.0801959261319397e-08
142 8.386 38.672 9.0801959261319397e-08
143 8.989 39.375 9.0801959261319397e-08
144 7.783 42.188 1.8239947077614887e-09
145 8.386 42.891 1.8239947077614887e-09
146 8.386 41.484 1.8239947077614887e-09
147 8.989 42.188 1.8239947077614887e-09
148 8.989 43.594 1.8239947077614887e-09
149 9.594 44.297 1.8239947077614887e-09
150 9.594 42.891 1.8239947077614887e-09
151 10.200 43.594 1.8239947077614887e-09
152 8.989 40.781 1.8239947077614887e-09
153 9.594 41.484 1.8239947077614887e-09
154 9.594 40.078 1.8239947077614887e-09
155 10.200 40.781 1.8239947077614887e-09
156 10.200 42.188 1.8239947077614887e-09
157 10.807 42.891 1.8239947077614887e-09
158 10.807 41.484 1.8239947077614887e-09
159 11.415 42.188 1.8239947077614887e-09
160 7.783 36.562 3.9460432955266669e-07
161 8.386 37.266 3.9460432955266669e-07
162 8.386 35.859 3.9460432955266669e-07
163 8.989 36.562 3.9460432955266669e-07
164 8.989 37.969 9.0628366136414934e-08
165 9.594 38.672 9.0628366136414934e-08
166 9.594 37.266 9.0628366136414934e-08
167 10.200 37.969 9.0628366136414934e-08
168 8.989 35.156 3.8025815960704722e-07
169 9.594 35.859 3.8025815960704722e-07
170 9.594 34.453 3.8025815960704722e-07
171 10.200 35.156 3.8025815960704722e-07
