# nside 64 NEST
# pix_id lat lon prob
0 0.597 45.000 7.3797965858802353e-08
1 1.194 45.703 7.3797965858802353e-08
2 1.194 44.297 7.3797965858802353e-08
3 1.791 45.000 7.3797965858802353e-08
4 1.791 46.406 7.3797965858802353e-08
5 2.388 47.109 7.3797965858802353e-08
6 2.388 45.703 7.3797965858802353e-08
7 2.986 46.406 7.3797965858802353e-08
8 1.791 43.594 7.3797965858802353e-08
9 2.388 44.297 7.3797965858802353e-08
10 2.388 42.891 7.3797965858802353e-08
11 2.986 43.594 7.3797965858802353e-08
12 2.986 45.000 7.3797965858802353e-08
13 3.583 45.703 7.3797965858802353e-08
14 3.583 44.297 7.3797965858802353e-08
15 4.182 45.000 7.3797965858802353e-08
16 2.986 47.812 7.5641226517484689e-08
17 3.583 48.516 7.5641226517484689e-08
18 3.583 47.109 7.5641226517484689e-08
19 4.182 47.812 7.5641226517484689e-08
20 4.182 49.219 7.7802492540947568e-08
21 4.780 49.922 7.7802492540947568e-08
22 4.780 48.516 7.7802492540947568e-08
23 5.379 49.219 7.7802492540947568e-08
24 4.182 46.406 7.7974943953813031e-08
25 4.780 47.109 7.7974943953813031e-08
26 4.780 45.703 7.7974943953813031e-08
27 5.379 46.406 7.7974943953813031e-08
28 5.379 47.812 8.1635677616272529e-08
29 5.979 48.516 8.1635677616272529e-08
30 5.979 47.109 8.1635677616272529e-08
31 6.580 47.812 8.1635677616272529e-08
32 2.986 42.188 7.6588690735927476e-08
33 3.583 42.891 7.6588690735927476e-08
34 3.583 41.484 7.6588690735927476e-08
35 4.182 42.188 7.6588690735927476e-08
36 4.182 43.594 7.6588690735927476e-08
37 4.780 44.297 7.6588690735927476e-08
38 4.780 42.891 7.6588690735927476e-08
39 5.379 43.594 7.6588690735927476e-08
40 4.182 40.781 7.6588690735927476e-08
41 4.780 41.484 7.6588690735927476e-08
42 4.780 40.078 7.6588690735927476e-08
43 5.379 40.781 7.6588690735927476e-08
44 5.379 42.188 7.6588690735927476e-08
45 5.979 42.891 7.6588690735927476e-08
46 5.979 41.484 7.6588690735927476e-08
47 6.580 42.188 7.6588690735927476e-08
48 5.379 45.000 8.0884370267514568e-08
49 5.979 45.703 8.0884370267514568e-08
50 5.979 44.297 8.0884370267514568e-08
51 6.580 45.000 8.0884370267514568e-08
52 6.580 46.406 8.5956718938690676e-08
53 7.181 47.109 8.5956718938690676e-08
54 7.181 45.703 8.5956718938690676e-08
55 7.783 46.406 8.5956718938690676e-08
56 6.580 43.594 8.4144577293400292e-08
57 7.181 44.297 8.4144577293400292e-08
