# nside 64 NEST
# pix_id lat lon prob
0 0.597 45.000 4.5096472817419436e-22
1 1.194 45.703 4.5096472817419436e-22
2 1.194 44.297 4.5096472817419436e-22
3 1.791 45.000 4.5096472817419436e-22
4 1.791 46.406 4.5096472817419436e-22
5 2.388 47.109 4.5096472817419436e-22
6 2.388 45.703 4.5096472817419436e-22
7 2.986 46.406 4.5096472817419436e-22
8 1.791 43.594 4.5096472817419436e-22
9 2.388 44.297 4.5096472817419436e-22
10 2.388 42.891 4.5096472817419436e-22
11 2.986 43.594 4.5096472817419436e-22
12 2.986 45.000 4.5096472817419436e-22
13 3.583 45.703 4.5096472817419436e-22
14 3.583 44.297 4.5096472817419436e-22
15 4.182 45.000 4.5096472817419436e-22
16 2.986 47.812 7.2111462019157890e-25
17 3.583 48.516 7.2111462019157890e-25
18 3.583 47.109 7.2111462019157890e-25
19 4.182 47.812 7.2111462019157890e-25
20 4.182 49.219 7.2111462019157890e-25
21 4.780 49.922 7.2111462019157890e-25
22 4.780 48.516 7.2111462019157890e-25
23 5.379 49.219 7.2111462019157890e-25
24 4.182 46.406 7.2111462019157890e-25
25 4.780 47.109 7.2111462019157890e-25
26 4.780 45.703 7.2111462019157890e-25
27 5.379 46.406 7.2111462019157890e-25
28 5.379 47.812 7.2111462019157890e-25
29 5.979 48.516 7.2111462019157890e-25
30 5.979 47.109 7.2111462019157890e-25
31 6.580 47.812 7.2111462019157890e-25
32 2.986 42.188 3.9082948480767789e-12
33 3.583 42.891 3.9082948480767789e-12
34 3.583 41.484 3.9082948480767789e-12
35 4.182 42.188 3.9082948480767789e-12
36 4.182 43.594 5.3906680692381577e-13
37 4.780 44.297 5.3906680692381577e-13
38 4.780 42.891 5.3906680692381577e-13
39 5.379 43.594 5.3906680692381577e-13
40 4.182 40.781 2.4010687311945034e-08
41 4.780 41.484 2.4010687311945034e-08
42 4.780 40.078 2.4010687311945034e-08
43 5.379 40.781 2.4010687311945034e-08
44 5.379 42.188 6.1305087320883354e-09
45 5.979 42.891 6.1305087320883354e-09
46 5.979 41.484 6.1305087320883354e-09
47 6.580 42.188 6.1305087320883354e-09
48 5.379 45.000 8.9169627090251176e-14
49 5.979 45.703 8.9169627090251176e-14
50 5.979 44.297 8.9169627090251176e-14
51 6.580 45.000 8.9169627090251176e-14
52 6.580 46.406 1.4510733978216474e-14
53 7.181 47.109 1.4510733978216474e-14
54 7.181 45.703 1.4510733978216474e-14
55 7.783 46.406 1.4510733978216474e-14
56 6.580 43.594 1.2135889548095277e-09
57 7.181 44.297 1.2135889548095277e-09
58 7.181 42.891 1.2135889548095277e-09
59 7.783 43.594 1.2135889548095277e-09
60 7.783 45.000 1.8400476562459052e-10
61 8.386 45.703 1.8400476562459052e-10
62 8.386 44.297 1.8400476562459052e-10
63 8.989 45.000 1.8400476562459052e-10
64 5.379 50.625 8.8487898132939937e-27
65 5.979 51.328 8.8487898132939937e-27
66 5.979 49.922 8.8487898132939937e-27
67 6.580 50.625 8.8487898132939937e-27
68 6.580 52.031 8.8487898132939937e-27
69 7.181 52.734 8.8487898132939937e-27
70 7.181 51.328 8.8487898132939937e-27
71 7.783 52.031 8.8487898132939937e-27
72 6.580 49.219 8.8487898132939937e-27
73 7.181 49.922 8.8487898132939937e-27
74 7.181 48.516 8.8487898132939937e-27
75 7.783 49.219 8.8487898132939937e-27
76 7.783 50.625 8.8487898132939937e-27
77 8.386 51.328 8.8487898132939937e-27
78 8.386 49.922 8.8487898132939937e-27
79 8.989 50.625 8.8487898132939937e-27
80 7.783 53.438 5.1108381941665244e-28
81 8.386 54.141 5.1108381941665244e-28
82 8.386 52.734 5.1108381941665244e-28
83 8.989 53.438 5.1108381941665244e-28
84 8.989 54.844 5.1108381941665244e-28
85 9.594 55.547 5.1108381941665244e-28
86 9.594 54.141 5.1108381941665244e-28
87 10.200 54.844 5.1108381941665244e-28
88 8.989 52.031 5.1108381941665244e-28
89 9.594 52.734 5.1108381941665244e-28
90 9.594 51.328 5.1108381941665244e-28
91 10.200 52.031 5.1108381941665244e-28
92 10.200 53.438 5.1108381941665244e-28
93 10.807 54.141 5.1108381941665244e-28
94 10.807 52.734 5.1108381941665244e-28
95 11.415 53.438 5.1108381941665244e-28
96 7.783 47.812 1.5295011282909889e-13
97 8.386 48.516 1.5295011282909889e-13
98 8.386 47.109 1.5295011282909889e-13
99 8.989 47.812 1.5295011282909889e-13
100 8.989 49.219 1.5295011282909889e-13
101 9.594 49.922 1.5295011282909889e-13
102 9.594 48.516 1.5295011282909889e-13
103 10.200 49.219 1.5295011282909889e-13
104 8.989 46.406 1.5295011282909889e-13
105 9.594 47.109 1.5295011282909889e-13
106 9.594 45.703 1.5295011282909889e-13
107 10.200 46.406 1.5295011282909889e-13
108 10.200 47.812 1.5295011282909889e-13
109 10.807 48.516 1.5295011282909889e-13
110 10.807 47.109 1.5295011282909889e-13
111 11.415 47.812 1.5295011282909889e-13
112 10.200 50.625 1.2977602892623383e-15
113 10.807 51.328 1.2977602892623383e-15
114 10.807 49.922 1.2977602892623383e-15
115 11.415 50.625 1.2977602892623383e-15
116 11.415 52.031 1.2977602892623383e-15
117 12.025 52.734 1.2977602892623383e-15
118 12.025 51.328 1.2977602892623383e-15
119 12.636 52.031 1.2977602892623383e-15
120 11.415 49.219 1.2977602892623383e-15
121 12.025 49.922 1.2977602892623383e-15
122 12.025 48.516 1.2977602892623383e-15
123 12.636 49.219 1.2977602892623383e-15
124 12.636 50.625 1.2977602892623383e-15
125 13.248 51.328 1.2977602892623383e-15
126 13.248 49.922 1.2977602892623383e-15
127 13.862 50.625 1.2977602892623383e-15
128 5.379 39.375 7.9955181762992015e-07
129 5.979 40.078 7.9955181762992015e-07
130 5.979 38.672 7.9955181762992015e-07
131 6.580 39.375 7.9955181762992015e-07
132 6.580 40.781 3.7844024024982053e-07
133 7.181 41.484 3.7844024024982053e-07
134 7.181 40.078 3.7844024024982053e-07
135 7.783 40.781 3.7844024024982053e-07
136 6.580 37.969 1.8333370430206139e-06
137 7.181 38.672 1.6760615577578244e-06
138 7.181 37.266 6.5324139736914145e-06
139 7.783 37.969 6.2574699603996743e-06
140 7.783 39.375 1.6122419731633798e-06
141 8.386 40.078 1.5914384374153135e-06
142 8.386 38.672 5.8141995140858585e-06
143 8.989 39.375 5.0701649628511910e-06
144 7.783 42.188 2.6951543418588276e-07
145 8.386 42.891 2.6951543418588276e-07
146 8.386 41.484 2.6951543418588276e-07
147 8.989 42.188 2.6951543418588276e-07
148 8.989 43.594 2.1812315917230042e-07
149 9.594 44.297 2.1812315917230042e-07
150 9.594 42.891 2.1812315917230042e-07
151 10.200 43.594 2.1812315917230042e-07
152 8.989 40.781 1.5672075903553140e-06
153 9.594 41.484 1.4917014782885544e-06
154 9.594 40.078 4.0600601195473732e-06
155 10.200 40.781 2.9894353814774679e-06
156 10.200 42.188 2.0307951694609924e-06
157 10.807 42.891 2.0307951694609924e-06
158 10.807 41.484 2.0307951694609924e-06
159 11.415 42.188 2.0307951694609924e-06
160 7.783 36.562 7.5356020753698937e-06
161 8.386 37.266 5.9612389831002017e-06
162 8.386 35.859 1.1553575341526812e-05
163 8.989 36.562 1.0512649002859252e-05
164 8.989 37.969 5.0339165523322429e-06
165 9.594 38.672 4.7084320204293460e-06
166 9.594 37.266 9.6143203638810497e-06
167 10.200 37.969 8.7108848557526088e-06
168 8.989 35.156 1.5966531266250281e-05
169 9.594 35.859 1.5459969747662931e-05
170 9.594 34.453 2.8222489443736722e-05
171 10.200 35.156 2.6370005789417993e-05
172 10.200 36.562 1.5003374629489706e-05
173 10.807 37.266 1.4470612456817914e-05
174 10.807 35.859 2.4491460221611478e-05
175 11.415 36.562 2.2638452874190598e-05
176 10.200 39.375 4.8156526523932216e-06
177 10.807 40.078 5.0422098170932263e-06
178 10.807 38.672 7.6925630604348338e-06
179 11.415 39.375 6.5714857980550682e-06
180 11.415 40.781 5.0296601157399262e-06
181 12.025 41.484 4.5857165728278125e-06
182 12.025 40.078 5.4972308501447905e-06
183 12.636 40.781 4.6586606453530741e-06
184 11.415 37.969 1.3833038505866586e-05
185 12.025 38.672 1.3147533042499959e-05
186 12.025 37.266 2.0882838016075594e-05
187 12.636 37.969 1.9349204591938942e-05
188 12.636 39.375 1.2489945144483016e-05
189 13.248 40.078 1.1902322731606298e-05
190 13.248 38.672 1.8208038164681423e-05
191 13.862 39.375 1.7594488336936753e-05
192 10.200 45.000 1.0746043549336130e-07
193 10.807 45.703 1.0746043549336130e-07
194 10.807 44.297 1.0746043549336130e-07
195 11.415 45.000 1.0746043549336130e-07
196 11.415 46.406 2.3619525088437724e-08
197 12.025 47.109 2.3619525088437724e-08
198 12.025 45.703 2.3619525088437724e-08
199 12.636 46.406 2.3619525088437724e-08
200 11.415 43.594 9.3376874944980710e-07
201 12.025 44.297 9.3376874944980710e-07
202 12.025 42.891 9.3376874944980710e-07
203 12.636 43.594 9.3376874944980710e-07
204 12.636 45.000 9.2764023585326517e-07
205 13.248 45.703 9.2764023585326517e-07
206 13.248 44.297 9.2764023585326517e-07
207 13.862 45.000 9.2764023585326517e-07
208 12.636 47.812 6.1618014761120898e-09
209 13.248 48.516 6.1618014761120898e-09
210 13.248 47.109 6.1618014761120898e-09
211 13.862 47.812 6.1618014761120898e-09
212 13.862 49.219 5.0082002934949745e-08
213 14.478 49.922 5.0082002934949745e-08
214 14.478 48.516 5.0082002934949745e-08
215 15.095 49.219 5.0082002934949745e-08
216 13.862 46.406 6.8610966401279887e-07
217 14.478 47.109 6.8610966401279887e-07
218 14.478 45.703 6.8610966401279887e-07
219 15.095 46.406 6.8610966401279887e-07
220 15.095 47.812 2.6566887277055398e-07
221 15.714 48.516 2.6566887277055398e-07
